category,filename,expected_defect,correctly_classified,final_passed,raw_score,final_score,blur_score,blur_threshold,blur_strip_scores,blur_passed,finger_brightness,global_brightness,dark_pixel_fraction,bright_pixel_fraction,dark_threshold,bright_threshold,brightness_passed,glare_fraction,glare_fraction_threshold,roi_glare_fraction,roi_glare_fraction_threshold,largest_hotspot_fraction,hotspot_fraction_threshold,largest_hotspot_pixels,global_glare_detected,localized_glare_detected,glare_passed,roi_fraction,roi_threshold,roi_passed,ridge_score,ridge_threshold,ridge_passed,processing_time_ms,guidance,error
good,good_01.png,none,True,True,90.46,90.46,478.2624,300.0,492.4191|478.2624|467.0169,True,87.69,156.27,0.3884,0.0,80.0,210.0,True,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.3856,0.15,True,1.9333,1.0,True,214.71,Good capture — ready for processing,
good,good_02.png,none,True,True,65.79,65.79,165.3548,300.0,165.3548|79.0056|175.1767,True,95.89,146.76,0.2558,0.0,80.0,210.0,True,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.2717,0.15,True,1.0521,1.0,True,165.41,Good capture — ready for processing,
good,good_03.png,none,True,True,61.21,61.21,180.239,300.0,86.1196|180.239|254.995,True,182.8,100.85,0.0,0.2,80.0,210.0,True,0.0037,0.009,0.0008,0.007,0.0001,0.0045,20,False,False,True,0.1916,0.15,True,1.4289,1.0,True,177.08,Good capture — ready for processing,
good,good_04.png,none,True,True,88.79,88.79,620.8178,300.0,1691.4655|620.8178|130.6302,True,86.97,127.18,0.4413,0.0184,80.0,210.0,True,0.006,0.009,0.0069,0.007,0.0059,0.0045,1605,False,False,True,0.3464,0.15,True,33.9372,1.0,True,207.03,Good capture — ready for processing,
good,good_05.png,none,True,True,98.2,98.2,768.8174,300.0,849.6673|400.8454|768.8174,True,88.95,113.45,0.4255,0.0036,80.0,210.0,True,0.0002,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.4626,0.15,True,46.3249,1.0,True,212.29,Good capture — ready for processing,
blurry,blurry_01.png,blur,True,False,53.87,53.87,37.1461,300.0,37.2932|37.1461|32.3092,False,108.92,173.89,0.0883,0.0,80.0,210.0,True,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.2846,0.15,True,0.5566,1.0,False,141.03,Image is too blurry — hold your hand steady and retry.,
blurry,blurry_02.png,blur,True,False,49.69,49.69,48.6454,300.0,58.9249|48.6454|37.4221,False,60.65,101.94,0.8065,0.0,80.0,210.0,False,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.3847,0.15,True,1.1778,1.0,True,115.36,Image is too dark — increase the lighting and retry.,
blurry,blurry_03.png,blur,True,False,62.99,59.99,228.9213,300.0,234.6002|228.9213|179.9074,False,56.99,97.31,0.8156,0.0001,80.0,210.0,False,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.4036,0.15,True,1.5636,1.0,True,105.55,Image is too dark — increase the lighting and retry.,
blurry,blurry_04.png,blur,True,False,70.96,59.99,187.7495,300.0,248.6584|178.1931|187.7495,False,119.52,69.16,0.0717,0.0979,80.0,210.0,True,0.0163,0.009,0.0599,0.007,0.0426,0.0045,9102,True,True,False,0.272,0.15,True,125.8272,1.0,True,204.38,Glare detected — change the light angle and retry.,
blurry,blurry_05.png,blur,True,False,86.63,59.99,279.0458,300.0,478.0679|180.0379|279.0458,False,145.71,96.94,0.0283,0.0006,80.0,210.0,True,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.4191,0.15,True,115.4082,1.0,True,110.0,Image is too blurry — hold your hand steady and retry.,
dark,dark_01.png,brightness,True,False,44.45,44.45,179.2676,300.0,117.9071|188.0808|179.2676,False,16.05,71.16,1.0,0.0,80.0,210.0,False,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.3488,0.15,True,0.4652,1.0,False,160.04,Image is too dark — increase the lighting and retry.,
dark,dark_02.png,brightness,True,False,48.92,48.92,146.5119,300.0,146.5119|99.6739|322.4051,False,69.06,11.05,0.6278,0.0,80.0,210.0,False,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.0423,0.15,False,2.2252,1.0,True,169.28,Image is too dark — increase the lighting and retry.,
dark,dark_03.png,brightness,True,False,35.76,35.76,8.2421,300.0,8.2421|8.3765|7.8687,False,22.42,10.05,0.9999,0.0,80.0,210.0,False,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.1896,0.15,True,0.8516,1.0,False,274.58,Image is too dark — increase the lighting and retry.,
dark,dark_04.png,brightness,True,False,30.45,30.45,6.2494,300.0,6.2494|6.1495|6.3048,False,30.32,18.6,1.0,0.0,80.0,210.0,False,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.4594,0.15,True,0.0127,1.0,False,153.53,Image is too dark — increase the lighting and retry.,
dark,dark_05.png,brightness,True,False,43.46,43.46,296.6691,300.0,163.8025|305.1774|296.6691,False,72.52,33.95,0.6566,0.0,80.0,210.0,False,0.0,0.009,0.0,0.007,0.0,0.0045,0,False,False,True,0.3113,0.15,True,0.0734,1.0,False,156.25,Image is too dark — increase the lighting and retry.,
glare,glare_01.png,glare,True,False,15.64,15.64,212.9155,300.0,260.7975|212.9155|148.2277,True,239.77,58.35,0.0,0.8411,80.0,210.0,False,0.1063,0.009,0.8052,0.007,0.8052,0.0045,81602,True,True,False,0.1012,0.15,False,0.0017,1.0,False,47.96,Glare detected — change the light angle and retry.,
glare,glare_02.png,glare,True,False,74.83,59.99,150.5432,300.0,141.5453|150.8924|150.5432,False,139.56,87.4,0.0,0.0196,80.0,210.0,True,0.0058,0.009,0.0143,0.007,0.0128,0.0045,3624,False,True,False,0.4039,0.15,True,10.4383,1.0,True,51.15,Glare detected — change the light angle and retry.,
glare,glare_03.png,glare,True,False,77.53,59.99,188.6851,300.0,188.6851|193.2782|182.5321,False,146.39,89.75,0.0,0.0251,80.0,210.0,True,0.0048,0.009,0.014,0.007,0.0122,0.0045,3273,False,True,False,0.3412,0.15,True,23.2287,1.0,True,63.63,Glare detected — change the light angle and retry.,
glare,glare_04.png,glare,True,False,46.63,46.63,243.5727,300.0,241.4743|249.9276|243.5727,False,145.16,165.33,0.0,0.0,80.0,210.0,True,0.0121,0.009,0.0,0.007,0.0,0.0045,0,True,False,False,0.4765,0.15,True,0.0991,1.0,False,64.36,Glare detected — change the light angle and retry.,
glare,glare_05.png,glare,True,False,80.78,59.99,221.2741,300.0,193.1144|223.2042|221.2741,False,141.77,89.91,0.0002,0.014,80.0,210.0,True,0.0031,0.009,0.0076,0.007,0.0056,0.0045,1808,False,True,False,0.4122,0.15,True,22.3727,1.0,True,64.37,Glare detected — change the light angle and retry.,
